epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.11237,0.88886,2.30231,1.23524,1,0.57748,0.98919,0.73111,0.70645,2.44387,1.12009,0.00042,0.00042,0.00042
2,10.343,0.8105,1.34141,1.10597,0.88194,0.90558,0.95764,0.64891,1.06506,2.45659,1.4315,0.000843627,0.000843627,0.000843627
3,14.7965,0.86219,1.23992,1.13289,0.78314,0.43813,0.81341,0.53535,0.75296,2.53969,1.16377,0.0012505,0.0012505,0.0012505
4,18.8376,0.88741,1.18638,1.13884,0.79265,0.69509,0.78262,0.50411,1.004,1.85611,1.41418,0.00164062,0.00164062,0.00164062
5,22.779,0.87945,1.08625,1.12284,0.55694,0.81818,0.66628,0.37163,1.22289,1.79247,1.58644,0.00184769,0.00184769,0.00184769
6,26.5595,0.81978,0.99016,1.10653,0.69419,0.41309,0.50764,0.28334,1.20682,2.27639,1.56563,0.00180962,0.00180962,0.00180962
7,30.3175,0.88162,0.9373,1.13757,1,0.75242,0.85648,0.57296,1.19631,1.74367,1.58789,0.00177154,0.00177154,0.00177154
8,34.0482,0.86914,0.91016,1.10445,0.83457,0.76456,0.83015,0.5057,0.94879,1.18687,1.39933,0.00173346,0.00173346,0.00173346
9,37.5805,0.82057,0.81161,1.09455,0.77508,0.87879,0.8693,0.57565,1.19427,2.70193,1.51396,0.00169538,0.00169538,0.00169538
10,41.2414,0.78429,0.76444,1.08471,0.88564,0.93876,0.94343,0.70411,0.99057,0.92969,1.29382,0.00165731,0.00165731,0.00165731
11,44.9742,0.74446,0.7218,1.06653,0.99697,1,0.995,0.74392,1.04515,0.76206,1.33859,0.00161923,0.00161923,0.00161923
12,48.6631,0.72213,0.67664,1.05123,0.95132,0.93939,0.95405,0.62146,1.58042,0.89782,1.89374,0.00158115,0.00158115,0.00158115
13,52.3585,0.74031,0.66819,1.03814,0.96512,0.9697,0.98833,0.75695,0.7436,0.61816,1.06755,0.00154308,0.00154308,0.00154308
14,55.9902,0.70135,0.62865,1.00636,0.97027,0.98931,0.99324,0.75529,0.75624,0.54004,1.12565,0.001505,0.001505,0.001505
15,59.6054,0.77018,0.66416,1.05248,0.9818,1,0.995,0.79001,0.90173,0.54552,1.29597,0.00146692,0.00146692,0.00146692
16,63.3098,0.65285,0.58159,1.00273,0.91013,0.93939,0.93577,0.70187,1.06494,0.67308,1.31691,0.00142885,0.00142885,0.00142885
